,Team Name,Winning %,Playoffs,Points/Game,Total Plays,Total Yards,Yards/Play,Total 1st Downs,3rd Down Conversions,3rd Down Attempts,3rd Down Conversion %,Redzone Conversions,Redzone Attempts,Redzone Conversion %,Penalties,Penalty Yards,Turnover Difference,Sacks,Sack %,QB Hits,QB Hit %,Passing Completions,Passing Attempts,Completion %,Passing Yards,Passing Yards/Attempt,Passing Yards/Completion,Passing Touchdowns,Interceptions,Passing on 1st Down,QB Rating,Rushing Attempts,Rushing Yards,Rushing Yards/Attempt,Rushing Touchdowns,Rushing on 1st Down
0,Arizona Cardinals,0.469,0,26.1,1086,5868,5.4,368,87,214,40.7,35,54,64.8,104,889,0,41,6.0,126,18.3,383,646,59.3,4136,6.4,10.8,28,17,229,81.65,399,1732,4.3,20,97
1,Atlanta Falcons,0.688,1,33.8,995,6653,6.7,379,75,178,42.1,39,63,61.9,104,847,11,37,6.4,93,16.2,374,537,69.6,4725,8.8,12.6,38,7,239,114.94,421,1928,4.6,20,108
2,Baltimore Ravens,0.5,0,21.4,1079,5563,5.2,316,86,233,36.9,24,46,52.2,125,1111,5,33,4.6,82,11.5,439,679,64.7,4100,6.0,9.3,20,16,205,81.12,367,1463,4.0,10,79
3,Buffalo Bills,0.43799999999999994,0,24.9,1013,5665,5.6,328,86,210,41.0,35,54,64.8,112,960,6,46,8.8,87,16.7,287,475,60.4,3036,6.4,10.6,17,7,155,84.86,492,2629,5.3,29,146
4,Carolina Panthers,0.375,0,23.1,1052,5499,5.2,318,83,223,37.2,29,49,59.2,98,850,-2,36,6.0,96,16.0,306,563,54.4,3685,6.5,12.0,21,19,194,73.02,453,1814,4.0,16,99
5,Chicago Bears,0.188,0,17.4,967,5704,5.9,324,70,185,37.8,25,49,51.0,110,967,-20,28,4.8,75,12.8,347,559,62.1,3969,7.1,11.4,19,19,212,80.56,380,1735,4.6,10,93
6,Cincinnati Bengals,0.406,0,20.3,1050,5711,5.4,341,82,210,39.0,29,54,53.7,88,726,3,41,6.8,75,12.4,364,563,64.7,3942,7.0,10.8,18,8,204,89.87,446,1769,4.0,17,100
7,Cleveland Browns,0.063,0,16.5,983,4976,5.1,296,77,212,36.3,24,44,54.5,95,736,-12,66,10.4,136,21.5,338,567,59.6,3264,5.8,9.7,15,14,181,74.28,350,1712,4.9,13,83
8,Dallas Cowboys,0.813,1,26.3,1010,6027,6.0,358,80,189,42.3,38,57,66.7,105,879,5,28,5.5,66,12.9,325,483,67.3,3631,7.5,11.2,25,6,191,101.56,499,2396,4.8,24,142
9,Denver Broncos,0.563,0,20.8,1020,5169,5.1,290,75,219,34.2,22,47,46.8,119,985,2,40,6.6,102,16.7,339,570,59.5,3685,6.5,10.9,20,11,181,82.24,410,1484,3.6,11,76
